
Freq,          Trans,        Phase,         Return,       Delay,       VSWR,         Zin,           Zangle,
 Hz:            dB:          degrees:        dB:          secs:        v/v:          ohms:          degrees:

1717.908      -6.998851E-02 -1.061756E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.696957E-04 
1737.801      -6.998852E-02 -.0107405     -41.91082     1.716809E-08  1.01618       50.80902      -1.716607E-04 
1757.924      -6.998853E-02 -1.086487E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.736484E-04 
1778.279      -6.998853E-02 -1.099068E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.756592E-04 
1798.871      -6.998853E-02 -1.111795E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.776932E-04 
1819.701      -6.998853E-02 -1.124668E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.797508E-04 
1840.772      -6.998854E-02 -1.137692E-02 -41.91082     1.716809E-08  1.01618       50.80902      -1.818322E-04 
1862.087      -6.998855E-02 -1.150865E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.839377E-04 
1883.649      -6.998856E-02 -1.164192E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.860676E-04 
1905.461      -6.998856E-02 -1.177672E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.882221E-04 
1927.525      -6.998856E-02 -1.191309E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.904016E-04 
1949.845      -6.998857E-02 -1.205104E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.926063E-04 
1972.423      -6.998857E-02 -1.219059E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.948366E-04 
1995.262      -6.998858E-02 -1.233175E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.970927E-04 
2018.366      -6.998859E-02 -1.247454E-02 -41.91083     1.716809E-08  1.01618       50.80902      -1.993749E-04 
2041.738      -6.998859E-02 -1.261899E-02 -41.91083     1.716809E-08  1.01618       50.80902      -2.016835E-04 
2065.38       -6.998859E-02 -1.276511E-02 -41.91083     1.716809E-08  1.01618       50.80902      -2.040189E-04 
2089.296      -.0699886     -1.291292E-02 -41.91083     1.716809E-08  1.01618       50.80902      -2.063813E-04 
